genus,sample,rel_abundance,top
Prevotella,A1,0.6469011585155264,0.6469011585155264
Prevotella,A2,0.7032958304831517,0.7032958304831517
Prevotella,A4,0.7803563978385162,0.7803563978385162
Prevotella,A6,0.00136372433215212,0.00136372433215212
Prevotella,A9,6.924706476635407e-4,6.924706476635407e-4
Prevotella,A10,0.28725665134402006,0.28725665134402006
Prevotella,A11,7.908701785595698e-4,7.908701785595698e-4
Prevotella,A12,0.5343077769042063,0.5343077769042063
Prevotella,A13,0.06640257144590697,0.06640257144590697
Prevotella,A15,0.00117981917525669,0.00117981917525669
Prevotella,A16,0.7207789069202605,0.7207789069202605
Prevotella,A17,0.6682462094556149,0.6682462094556149
Prevotella,A18,0.00108621592587218,0.00108621592587218
Prevotella,A19,0.08767117367793006,0.08767117367793006
Prevotella,A21,0.45560320978609015,0.45560320978609015
Prevotella,A22,0.00113284553514457,0.00113284553514457
Prevotella,A24,0.4134039022334909,0.4134039022334909
Prevotella,A25,0.11317513598635393,0.11317513598635393
Prevotella,A26,0.08217753152373802,0.08217753152373802
Prevotella,A27,0.18184722640705683,0.18184722640705683
Prevotella,A28,0.01799056253204815,0.01799056253204815
Prevotella,A29,0.11782184867929092,0.11782184867929092
Prevotella,A30,0.08575328773705222,0.08575328773705222
Prevotella,A31,5.467040590550891e-4,5.467040590550891e-4
Prevotella,A32,0.09309190350511388,0.09309190350511388
Prevotella,A33,0.41347520416916234,0.41347520416916234
Prevotella,A34,0.01614779274121731,0.01614779274121731
Prevotella,A35,0.03399397249894417,0.03399397249894417
Prevotella,A36,0.06108624516993365,0.06108624516993365
Prevotella,A37,8.295923787461853e-4,8.295923787461853e-4
Prevotella,A38,5.558129600519603e-4,5.558129600519603e-4
Prevotella,A39,0.00131677071834606,0.00131677071834606
Prevotella,A41,0.4839979049360179,0.4839979049360179
Prevotella,A42,0.43348202104841455,0.43348202104841455
Prevotella,A43,7.434720897573577e-4,7.434720897573577e-4
Prevotella,A44,0.449675888509909,0.449675888509909
Prevotella,A45,0.30447312795638104,0.30447312795638104
Prevotella,A46,5.926943994013932e-4,5.926943994013932e-4
Prevotella,A47,0.01581588008958228,0.01581588008958228
Prevotella,A48,0.6069694169716872,0.6069694169716872
Prevotella,A49,0.00748070369711231,0.00748070369711231
Prevotella,A50,0.09521337787717311,0.09521337787717311
Prevotella,A51,0.2692536963598802,0.2692536963598802
Prevotella,A52,0.43056552728786224,0.43056552728786224
Prevotella,A53,0.0034281601575817202,0.0034281601575817202
Prevotella,A54,0.3914361182819529,0.3914361182819529
Prevotella,A55,0.4061668721892793,0.4061668721892793
Prevotella,A56,0.5211196153438393,0.5211196153438393
Prevotella,A57,0.00432699977532174,0.00432699977532174
Prevotella,A58,0.19774113083623407,0.19774113083623407
Prevotella,A59,0.3740410960645664,0.3740410960645664
Prevotella,A60,0.32678411568779064,0.32678411568779064
Prevotella,A61,0.4664418942098959,0.4664418942098959
Prevotella,A62,0.5284172911650201,0.5284172911650201
Prevotella,A63,0.18032092415611828,0.18032092415611828
Prevotella,A64,0.06485544748930246,0.06485544748930246
Prevotella,A66,7.08972819148674e-4,7.08972819148674e-4
Prevotella,A67,0.14263499347195413,0.14263499347195413
Prevotella,A68,0.03492672344886814,0.03492672344886814
Prevotella,A69,0.01746965495294812,0.01746965495294812
Prevotella,A70,0.0614276528414842,0.0614276528414842
Prevotella,A71,0.04323759079249022,0.04323759079249022
Prevotella,A72,0.5870883562523053,0.5870883562523053
Prevotella,A73,0.02340533652753181,0.02340533652753181
Prevotella,A75,0.06486794021932639,0.06486794021932639
Prevotella,A77,0.19067847891648732,0.19067847891648732
Prevotella,A78,0.00744352748344327,0.00744352748344327
Prevotella,A79,0.351068579632303,0.351068579632303
Prevotella,B1,0.15879058979012467,0.15879058979012467
Prevotella,B2,0.3185640659268367,0.3185640659268367
Prevotella,B4,0.1660421338537298,0.1660421338537298
Prevotella,B5,0.1442824558039769,0.1442824558039769
Prevotella,B7,0.7569585702331458,0.7569585702331458
Prevotella,B8,0.3625550015152845,0.3625550015152845
Prevotella,B9,0.02611763336089894,0.02611763336089894
Prevotella,B10,0.00210817057314006,0.00210817057314006
Prevotella,B11,0.27043285413826135,0.27043285413826135
Prevotella,B12,0.6003291954279735,0.6003291954279735
Prevotella,B13,0.1667560183986081,0.1667560183986081
Prevotella,B14,0.05389867470330575,0.05389867470330575
Prevotella,B15,0.00141533728300609,0.00141533728300609
Prevotella,B16,0.22780701331072745,0.22780701331072745
Prevotella,B17,0.18980517627080937,0.18980517627080937
Prevotella,B18,0.03431682827315499,0.03431682827315499
Prevotella,B20,0.6026654681339082,0.6026654681339082
Prevotella,B22,0.4103282199359661,0.4103282199359661
Prevotella,B23,0.44181575669493994,0.44181575669493994
Prevotella,B24,0.08834152314375082,0.08834152314375082
Prevotella,B25,0.5133933342991902,0.5133933342991902
Prevotella,B26,0.5705518197107603,0.5705518197107603
Prevotella,B27,0.360151154582613,0.360151154582613
Prevotella,B28,0.3062185435312653,0.3062185435312653
Prevotella,B29,0.5136956705233332,0.5136956705233332
Prevotella,B30,0.0013675926472713,0.0013675926472713
Prevotella,B31,0.33906706782879714,0.33906706782879714
Prevotella,B32,0.00120633504882092,0.00120633504882092
Prevotella,B33,0.4116649210559803,0.4116649210559803
Prevotella,B34,0.05668824866111701,0.05668824866111701
Prevotella,B36,8.390544338507416e-4,8.390544338507416e-4
Prevotella,B37,0.00852642222274921,0.00852642222274921
Prevotella,B38,0.7931257032783602,0.7931257032783602
Prevotella,B39,9.470121255387038e-4,9.470121255387038e-4
Prevotella,B40,0.49279830579120626,0.49279830579120626
Prevotella,B41,0.37134877157342217,0.37134877157342217
Prevotella,B42,0.33271968185928963,0.33271968185928963
Prevotella,B43,0.2690692712725694,0.2690692712725694
Prevotella,B44,0.4171040270115632,0.4171040270115632
Prevotella,B45,0.05937718971745111,0.05937718971745111
Prevotella,B46,0.01653898392333486,0.01653898392333486
Prevotella,B47,0.11323410210440991,0.11323410210440991
Prevotella,B48,0.4836337751278087,0.4836337751278087
Prevotella,B49,0.01655344704407364,0.01655344704407364
Prevotella,B50,0.02420767670992386,0.02420767670992386
Prevotella,B52,0.34102198258010374,0.34102198258010374
Prevotella,B55,0.6703928008409971,0.6703928008409971
Prevotella,B56,0.32355024849460384,0.32355024849460384
Prevotella,B57,0.32116255477937866,0.32116255477937866
Prevotella,B58,0.33637404964446466,0.33637404964446466
Prevotella,B59,0.07618423626481913,0.07618423626481913
Prevotella,B61,0.2310413052220371,0.2310413052220371
Prevotella,B62,0.4344219311099873,0.4344219311099873
Prevotella,B63,0.34692159108049647,0.34692159108049647
Prevotella,B65,0.41222149773725614,0.41222149773725614
Prevotella,B66,0.4374537437429184,0.4374537437429184
Prevotella,B67,0.6000333072198077,0.6000333072198077
Prevotella,B68,0.4014457060055919,0.4014457060055919
Prevotella,B69,0.6070150354985974,0.6070150354985974
Prevotella,B70,0.372816453575293,0.372816453575293
Prevotella,B71,0.01459217907616326,0.01459217907616326
Prevotella,B72,0.40760645798961975,0.40760645798961975
Prevotella,B73,0.09657502329916123,0.09657502329916123
Prevotella,B74,0.07254941397167182,0.07254941397167182
Prevotella,B75,0.5356290572821633,0.5356290572821633
Prevotella,B76,0.1129742626253766,0.1129742626253766
Prevotella,B77,0.5736300224315118,0.5736300224315118
Prevotella,B78,0.7558321623052321,0.7558321623052321
Prevotella,B79,0.07638513700976873,0.07638513700976873
Prevotella,C1,0.08963609017038178,0.08963609017038178
Prevotella,C2,0.02803696183253622,0.02803696183253622
Prevotella,C3,0.05646986573028636,0.05646986573028636
Prevotella,C4,0.01255682183976688,0.01255682183976688
Prevotella,C5,0.6866634594128418,0.6866634594128418
Prevotella,C6,0.7093944790957842,0.7093944790957842
Prevotella,C8,0.16830594029019544,0.16830594029019544
Prevotella,C9,0.01832140102138273,0.01832140102138273
Prevotella,C10,0.6779294408245177,0.6779294408245177
Prevotella,C11,0.514697688585565,0.514697688585565
Prevotella,C12,0.3209970321144655,0.3209970321144655
Prevotella,C13,0.290399219937027,0.290399219937027
Prevotella,C14,0.00160354441036658,0.00160354441036658
